,0
0,1472.462
1,671.9874
2,961.23987
3,423.75018
4,893.5348
5,748.02405
6,767.23816
7,621.8484
8,551.12256
9,775.9991
10,127.69056
11,424.59146
12,471.445
13,305.07422
14,863.9033
15,293.5294
16,249.12866
17,1486.8041
18,401.7868
19,448.55112
20,642.35876
21,1274.0677
22,941.1843
23,347.7708
24,254.7656
25,650.43005
26,309.0962
27,126.469376
28,186.50056
29,1281.5568
30,871.271
31,649.9149
32,665.62537
33,1117.1676
34,809.33984
35,217.93085
36,1110.3148
37,1544.0164
38,516.5657
39,804.9847
40,1271.5684
41,1153.2736
42,1019.38806
43,662.14246
44,364.3225
45,545.97797
46,951.0777
47,346.14703
48,364.11774
49,626.9693
50,661.69324
51,280.99994
52,292.5277
53,414.40732
54,193.05832
55,491.67474
56,853.47833
57,559.7094
58,692.9418
59,1364.6039
60,240.60684
61,553.1365
62,547.47
63,752.6141
64,661.56854
65,468.06494
66,900.53217
67,800.7269
68,1267.7007
69,1090.5074
70,263.7435
71,1265.4034
72,94.83996
73,555.1024
74,479.60995
75,866.59717
76,1264.9772
77,666.03644
78,352.65378
79,747.4038
80,166.6191
81,378.59204
82,638.2588
83,242.03462
84,116.52624
85,604.2198
86,211.89731
87,641.66614
88,1066.054
89,1308.815
90,619.54834
91,318.33527
92,164.548
93,504.6572
94,780.3064
95,835.488
96,453.76428
97,153.81871
98,233.57988
99,646.38104
100,106.26176
101,969.40186
102,371.32022
103,753.34357
104,1274.4414
105,370.53412
106,274.31342
107,1083.2521
108,516.9502
109,202.01364
110,681.2279
111,932.15906
112,292.29517
113,491.00012
114,168.62491
115,283.32495
116,490.85794
117,380.69388
118,616.6138
119,404.09155
120,663.0979
121,516.077
122,624.4331
123,362.57867
124,580.44495
125,209.93427
126,98.3973
127,180.87852
128,197.78438
129,1147.3514
130,629.7286
131,1389.0343
132,814.9745
133,1127.4054
134,989.52625
135,602.5829
136,723.76294
137,689.2178
138,418.06168
139,468.43155
140,636.74603
141,229.39139
142,113.404625
143,1061.4575
144,597.0525
145,225.48267
146,1082.4025
147,1064.9102
148,1092.0426
149,598.8972
150,336.26587
151,386.77057
152,500.62793
153,287.87796
154,392.53644
155,561.29407
156,252.1392
157,451.88284
158,200.85692
159,1150.5028
160,1135.4513
161,122.19901
162,662.2972
163,1134.4718
164,479.33
165,225.80054
166,1143.7472
167,543.8655
168,554.7971
169,853.35925
170,1641.6818
171,171.71248
172,876.6301
173,237.33327
174,381.8014
175,237.9299
176,891.7396
177,1238.2733
178,1179.9048
179,413.9276
180,699.60474
181,854.2571
182,204.51259
183,385.6151
184,583.75885
185,910.2249
186,1069.3868
187,636.834
188,897.0494
189,656.6527
190,1008.16626
191,288.46484
192,325.5927
193,868.78186
194,375.6178
195,784.39014
196,209.94937
197,773.7706
198,188.04706
199,1396.6597
200,226.23306
201,941.3539
202,206.09193
203,469.58698
204,634.9484
205,634.37683
206,764.42004
207,502.35007
208,1205.3397
209,255.3949
210,1096.3401
211,997.1773
212,641.9375
213,260.6869
214,941.89813
215,435.02368
216,1204.1786
217,1231.0154
218,1496.6359
219,997.3767
220,643.67334
221,286.05063
222,314.56616
223,487.38348
224,1104.3671
225,563.3652
226,484.97745
227,614.0789
228,422.27216
229,1336.4396
230,232.25183
231,735.45074
232,302.0874
233,592.8832
234,395.16876
235,306.46054
236,618.4498
237,360.40802
238,302.46796
239,319.3401
240,1320.2538
241,1281.4364
242,470.13397
243,153.08057
244,176.74988
245,412.3496
246,1107.4089
247,527.70044
248,250.19766
249,148.43292
250,668.72437
251,385.02298
252,337.00238
253,873.7922
254,309.4762
