playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary
abadfe01,2015,1,OAK,AL,2,2,62,0,0,0,0,143,45,22,11,19,45,0.251,4.15,3.0,4,1.0,0,205.0,17,23,3.0,3.0,1.0,1250000.0
alberma01,2015,1,CHA,AL,2,0,30,0,0,0,0,112,31,5,3,9,28,0.228,1.21,2.0,0,1.0,0,149.0,5,6,0.0,3.0,4.0,2000000.0
allenco01,2015,1,CLE,AL,2,5,70,0,0,0,34,208,56,23,2,25,99,0.21899999999999997,2.99,2.0,9,2.0,0,286.0,58,26,1.0,2.0,5.0,4150000.0
alvarhe01,2015,1,MIA,NL,0,4,4,4,0,0,0,67,28,16,1,7,9,0.311,6.45,1.0,3,0.0,1,102.0,0,18,4.0,1.0,1.0,4250000.0
alvarjo02,2015,1,LAA,AL,4,3,64,0,0,0,0,201,58,26,5,23,59,0.228,3.49,4.0,1,5.0,0,283.0,18,29,0.0,1.0,7.0,507500.0
alvarrj01,2015,1,OAK,AL,0,0,21,0,0,0,0,60,27,22,7,13,23,0.318,9.9,1.0,5,0.0,0,100.0,11,23,0.0,2.0,0.0,510000.0
anderbr04,2015,1,LAN,NL,10,9,31,31,1,0,0,541,194,74,18,46,116,0.278,3.69,2.0,4,2.0,2,750.0,0,82,3.0,2.0,23.0,15800000.0
anderch01,2015,1,ARI,NL,6,6,27,27,0,0,0,458,158,73,18,40,111,0.272,4.3,2.0,3,7.0,0,640.0,0,75,3.0,9.0,15.0,520200.0
anderco01,2015,1,CLE,AL,7,3,15,15,1,0,0,274,77,31,9,24,44,0.231,3.05,1.0,0,1.0,1,365.0,0,32,3.0,3.0,8.0,511400.0
archech01,2015,1,TBA,AL,12,13,34,34,1,1,0,636,175,76,19,66,252,0.22,3.23,0.0,13,3.0,0,868.0,0,85,2.0,2.0,10.0,2916667.0
arrieja01,2015,1,CHN,NL,22,6,33,33,4,3,0,687,150,45,10,48,236,0.185,1.77,2.0,6,6.0,0,870.0,0,52,4.0,1.0,15.0,10700000.0
axforjo01,2015,1,COL,NL,4,5,60,0,0,0,25,167,56,26,4,32,62,0.259,4.2,4.0,1,0.0,0,250.0,43,27,0.0,2.0,3.0,4500000.0
baezpe01,2015,1,LAN,NL,4,2,52,0,0,0,0,153,47,19,4,11,60,0.247,3.35,1.0,1,1.0,1,208.0,8,22,3.0,3.0,2.0,520000.0
baileho02,2015,1,CIN,NL,0,1,2,2,0,0,0,34,16,7,3,4,3,0.34,5.56,2.0,0,0.0,0,51.0,0,7,0.0,0.0,3.0,18000000.0
banuema01,2015,1,ATL,NL,1,4,7,6,0,0,0,79,30,15,4,12,19,0.28300000000000003,5.13,0.0,1,3.0,0,121.0,0,17,0.0,0.0,2.0,507500.0
barnema01,2015,1,BOS,AL,3,4,32,2,0,0,0,129,56,26,9,15,39,0.311,5.44,0.0,4,2.0,0,199.0,7,28,2.0,0.0,4.0,511000.0
barreaa01,2015,1,WAS,NL,3,3,40,0,0,0,0,88,28,15,1,7,35,0.248,4.6,0.0,1,3.0,0,123.0,8,15,0.0,0.0,4.0,519400.0
barriyh01,2015,1,MIL,NL,0,0,5,0,0,0,0,20,3,0,0,0,7,0.136,0.0,0.0,0,0.0,0,22.0,2,0,0.0,0.0,0.0,509200.0
bassich01,2015,1,OAK,AL,1,8,18,13,0,0,0,258,78,34,5,30,64,0.244,3.56,0.0,5,9.0,0,361.0,3,36,1.0,1.0,12.0,510000.0
bastaan01,2015,1,PIT,NL,4,1,66,0,0,0,1,172,39,19,4,26,64,0.188,2.98,2.0,8,3.0,0,239.0,18,19,2.0,0.0,0.0,5375000.0
bauertr01,2015,1,CLE,AL,11,12,31,30,1,0,0,528,152,89,23,79,170,0.23199999999999998,4.55,1.0,7,5.0,1,744.0,1,90,4.0,1.0,14.0,1697500.0
bedroca01,2015,1,LAA,AL,1,0,34,0,0,0,0,100,40,20,3,19,34,0.303,5.4,2.0,2,2.0,0,156.0,10,21,1.0,2.0,2.0,510500.0
beeleda01,2015,1,CHN,NL,0,1,3,3,0,0,0,25,14,9,0,7,7,0.359,9.72,2.0,0,0.0,0,46.0,0,11,0.0,0.0,1.0,508500.0
belisma01,2015,1,SLN,NL,1,1,34,0,0,0,0,101,34,10,1,15,25,0.266,2.67,2.0,0,3.0,0,149.0,10,10,2.0,1.0,3.0,1250000.0
benoijo01,2015,1,SDN,NL,6,5,67,0,0,0,2,196,36,17,7,23,63,0.159,2.34,1.0,2,2.0,0,254.0,11,17,2.0,1.0,1.0,7500000.0
bergmch01,2015,1,COL,NL,3,1,30,4,0,0,0,205,82,36,8,15,37,0.306,4.74,1.0,4,0.0,0,286.0,6,36,2.0,1.0,12.0,512500.0
betande01,2015,1,NYA,AL,6,4,74,0,0,0,9,252,45,14,6,40,131,0.157,1.5,2.0,9,3.0,0,332.0,17,17,1.0,1.0,4.0,507500.0
bettich01,2015,1,COL,NL,8,6,20,20,0,0,0,345,120,54,11,42,98,0.268,4.23,2.0,6,3.0,0,502.0,0,56,7.0,2.0,9.0,512500.0
blantjo01,2015,1,KCA,AL,2,2,15,4,0,0,2,125,43,18,6,7,40,0.265,3.89,1.0,0,0.0,0,172.0,6,19,1.0,2.0,2.0,4000000.0
blantjo01,2015,2,PIT,NL,5,0,21,0,0,0,0,103,26,6,1,9,39,0.20600000000000002,1.57,4.0,2,1.0,0,137.0,7,7,0.0,1.0,2.0,4000000.0
